1,28,,Mean,17.91182078,,,,
2,13,,Medain,16,,,,
3,22,,Mode ,13,,,,
4,12,,Std.Dev,8.519832939,,,,
5,10,,Request Count,2098,,,,
6,15,,,,,,Row Labels,Count of 1
7,12,,,,,,6,120
8,31,,,,,,7,90
9,22,,,,,,8,88
10,23,,,,,,9,96
11,28,,,,,,10,71
12,16,,,,,,11,107
13,15,,,,,,12,82
14,19,,,,,,13,120
15,8,,,,,,14,111
16,20,,,,,,15,113
17,24,,,,,,16,77
18,27,,,,,,17,89
19,30,,,,,,18,54
20,14,,,,,,19,66
21,22,,,,,,20,42
22,19,,,,,,21,94
23,17,,,,,,22,48
24,21,,,,,,23,65
25,10,,,,,,24,53
26,16,,,,,,25,65
27,16,,,,,,26,57
28,14,,,,,,27,53
29,10,,,,,,28,60
30,26,,,,,,29,54
31,11,,,,,,30,43
32,26,,,,,,31,25
33,29,,,,,,32,26
34,14,,,,,,33,12
35,25,,,,,,34,14
36,16,,,,,,35,12
37,12,,,,,,36,24
38,12,,,,,,37,24
39,15,,,,,,38,18
40,6,,,,,,39,24
41,18,,,,,,(blank),
42,19,,,,,,Grand Total,2097
43,21,,,,,,,
44,12,,,,,,,
45,29,,,,,,,
46,26,,,,,,,
47,28,,,,,,,
48,26,,,,,,,
49,36,,,,,,,
50,18,,,,,,,
51,30,,,,,,,
52,19,,,,,,,
53,36,,,,,,,
54,27,,,,,,,
55,28,,,,,,,
56,19,,,,,,,
57,19,,,,,,,
58,8,,,,,,,
59,10,,,,,,,
60,14,,,,,,,
61,29,,,,,,,
62,15,,,,,,,
63,27,,,,,,,
64,16,,,,,,,
65,13,,,,,,,
66,36,,,,,,,
67,30,,,,,,,
68,13,,,,,,,
69,16,,,,,,,
70,28,,,,,,,
71,20,,,,,,,
72,13,,,,,,,
73,7,,,,,,,
74,26,,,,,,,
75,23,,,,,,,
76,9,,,,,,,
77,19,,,,,,,
78,8,,,,,,,
79,14,,,,,,,
80,25,,,,,,,
81,18,,,,,,,
82,29,,,,,,,
83,6,,,,,,,
84,28,,,,,,,
85,20,,,,,,,
86,13,,,,,,,
87,14,,,,,,,
88,14,,,,,,,
89,29,,,,,,,
90,13,,,,,,,
91,14,,,,,,,
92,13,,,,,,,
93,14,,,,,,,
94,25,,,,,,,
95,18,,,,,,,
96,29,,,,,,,
97,6,,,,,,,
98,28,,,,,,,
99,20,,,,,,,
100,13,,,,,,,
101,14,,,,,,,
102,14,,,,,,,
103,29,,,,,,,
104,13,,,,,,,
105,14,,,,,,,
106,13,,,,,,,
107,14,,,,,,,
108,25,,,,,,,
109,18,,,,,,,
110,29,,,,,,,
111,6,,,,,,,
112,28,,,,,,,
113,20,,,,,,,
114,13,,,,,,,
115,14,,,,,,,
116,14,,,,,,,
117,29,,,,,,,
118,13,,,,,,,
119,14,,,,,,,
120,13,,,,,,,
121,14,,,,,,,
122,25,,,,,,,
123,18,,,,,,,
124,29,,,,,,,
125,6,,,,,,,
126,28,,,,,,,
127,20,,,,,,,
128,13,,,,,,,
129,14,,,,,,,
130,14,,,,,,,
131,29,,,,,,,
132,13,,,,,,,
133,14,,,,,,,
134,13,,,,,,,
135,14,,,,,,,
136,25,,,,,,,
137,18,,,,,,,
138,29,,,,,,,
139,6,,,,,,,
140,28,,,,,,,
141,20,,,,,,,
142,13,,,,,,,
143,14,,,,,,,
144,14,,,,,,,
145,29,,,,,,,
146,13,,,,,,,
147,14,,,,,,,
148,13,,,,,,,
149,25,,,,,,,
150,13,,,,,,,
151,25,,,,,,,
152,38,,,,,,,
153,17,,,,,,,
154,25,,,,,,,
155,13,,,,,,,
156,25,,,,,,,
157,38,,,,,,,
158,17,,,,,,,
159,20,,,,,,,
160,29,,,,,,,
161,33,,,,,,,
162,7,,,,,,,
163,12,,,,,,,
164,39,,,,,,,
165,8,,,,,,,
166,13,,,,,,,
167,6,,,,,,,
168,17,,,,,,,
169,13,,,,,,,
170,23,,,,,,,
171,29,,,,,,,
172,14,,,,,,,
173,35,,,,,,,
174,32,,,,,,,
175,29,,,,,,,
176,9,,,,,,,
177,15,,,,,,,
178,29,,,,,,,
179,26,,,,,,,
180,31,,,,,,,
181,30,,,,,,,
182,11,,,,,,,
183,15,,,,,,,
184,29,,,,,,,
185,26,,,,,,,
186,31,,,,,,,
187,30,,,,,,,
188,11,,,,,,,
189,15,,,,,,,
190,29,,,,,,,
191,26,,,,,,,
192,31,,,,,,,
193,30,,,,,,,
194,11,,,,,,,
195,15,,,,,,,
196,29,,,,,,,
197,26,,,,,,,
198,31,,,,,,,
199,30,,,,,,,
200,11,,,,,,,
201,26,,,,,,,
202,15,,,,,,,
203,29,,,,,,,
204,31,,,,,,,
205,30,,,,,,,
206,11,,,,,,,
207,26,,,,,,,
208,15,,,,,,,
209,29,,,,,,,
210,31,,,,,,,
211,30,,,,,,,
212,11,,,,,,,
213,15,,,,,,,
214,29,,,,,,,
215,26,,,,,,,
216,9,,,,,,,
217,7,,,,,,,
218,8,,,,,,,
219,38,,,,,,,
220,30,,,,,,,
221,11,,,,,,,
222,14,,,,,,,
223,29,,,,,,,
224,24,,,,,,,
225,23,,,,,,,
226,16,,,,,,,
227,21,,,,,,,
228,18,,,,,,,
229,16,,,,,,,
230,16,,,,,,,
231,14,,,,,,,
232,9,,,,,,,
233,16,,,,,,,
234,21,,,,,,,
235,18,,,,,,,
236,16,,,,,,,
237,16,,,,,,,
238,14,,,,,,,
239,9,,,,,,,
240,16,,,,,,,
241,21,,,,,,,
242,18,,,,,,,
243,16,,,,,,,
244,16,,,,,,,
245,14,,,,,,,
246,9,,,,,,,
247,16,,,,,,,
248,21,,,,,,,
249,18,,,,,,,
250,16,,,,,,,
251,16,,,,,,,
252,14,,,,,,,
253,9,,,,,,,
254,16,,,,,,,
255,21,,,,,,,
256,18,,,,,,,
257,16,,,,,,,
258,16,,,,,,,
259,14,,,,,,,
260,9,,,,,,,
261,13,,,,,,,
262,22,,,,,,,
263,19,,,,,,,
264,17,,,,,,,
265,9,,,,,,,
266,13,,,,,,,
267,29,,,,,,,
268,14,,,,,,,
269,10,,,,,,,
270,16,,,,,,,
271,23,,,,,,,
272,13,,,,,,,
273,26,,,,,,,
274,13,,,,,,,
275,13,,,,,,,
276,13,,,,,,,
277,13,,,,,,,
278,13,,,,,,,
279,13,,,,,,,
280,16,,,,,,,
281,13,,,,,,,
282,6,,,,,,,
283,13,,,,,,,
284,20,,,,,,,
285,18,,,,,,,
286,28,,,,,,,
287,21,,,,,,,
288,8,,,,,,,
289,10,,,,,,,
290,9,,,,,,,
291,26,,,,,,,
292,39,,,,,,,
293,6,,,,,,,
294,17,,,,,,,
295,23,,,,,,,
296,32,,,,,,,
297,6,,,,,,,
298,15,,,,,,,
299,23,,,,,,,
300,28,,,,,,,
301,30,,,,,,,
302,37,,,,,,,
303,28,,,,,,,
304,27,,,,,,,
305,23,,,,,,,
306,25,,,,,,,
307,26,,,,,,,
308,27,,,,,,,
309,23,,,,,,,
310,9,,,,,,,
311,26,,,,,,,
312,39,,,,,,,
313,6,,,,,,,
314,17,,,,,,,
315,23,,,,,,,
316,15,,,,,,,
317,32,,,,,,,
318,6,,,,,,,
319,15,,,,,,,
320,23,,,,,,,
321,28,,,,,,,
322,23,,,,,,,
323,30,,,,,,,
324,37,,,,,,,
325,28,,,,,,,
326,27,,,,,,,
327,23,,,,,,,
328,25,,,,,,,
329,26,,,,,,,
330,27,,,,,,,
331,23,,,,,,,
332,11,,,,,,,
